"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,Issn,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,,Average Journal Impact Factor Percentile,Normalized Eigenfactor
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,0007-9235,"20,488",131.723,131.277,142.204,50.292,24,4.1,5.3,0.062610,40.137,41.670,,99.765,7.11548
2,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,0028-4793,"283,525",59.558,58.913,56.170,20.012,342,8.3,5.0,0.685630,25.797,87.430,,99.669,77.92215
3,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,1474-1776,"25,460",47.120,46.470,43.016,8.475,40,6.8,5.4,0.062940,16.363,32.500,,99.746,7.15361
4,LANCET,LANCET,0140-6736,"195,553",44.002,42.580,46.119,13.21,309,9.0,4.7,0.408170,19.156,91.910,,99.007,46.38877
5,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,1087-0156,"48,650",43.113,42.069,41.388,8.947,114,7.2,4.8,0.157710,20.953,100.000,,99.068,17.92343
6,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,1474-1733,"31,545",39.416,39.008,39.328,5.517,58,6.9,5.5,0.087600,17.581,13.790,,99.667,9.95565
7,NATURE MATERIALS,NAT MATER,1476-1122,"72,306",38.891,38.533,45.772,8.565,170,6.3,6.1,0.207990,19.181,95.880,,99.594,23.63785
8,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,1471-0072,"36,784",38.602,38.325,40.923,4.915,59,7.4,5.9,0.099690,20.316,13.560,,99.733,11.32926
9,NATURE,NATURE,0028-0836,"627,846",38.138,37.546,41.458,9.518,897,>10.0,5.8,1.447620,22.261,94.870,,99.206,164.52238
10,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,0066-4146,"9,000",37.846,37.231,31.586,2.875,16,>10.0,7.1,0.020210,19.063,0.000,,99.180,2.29676
11,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,0098-7484,"129,909",37.684,36.857,33.569,9.497,197,>10.0,5.5,0.275180,16.023,87.310,,98.344,31.27398
12,CHEMICAL REVIEWS,CHEM REV,0009-2665,"148,154",37.369,36.920,51.560,8.87,261,8.1,7.3,0.245480,15.263,0.000,,99.693,27.89824
